[02/07/2023, 03:55:47 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/3019.32f3a996.chunk.js","referrer":"https://app.notesnook.com/signup","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:55:47 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/5664.faadbd40.chunk.js","referrer":"https://app.notesnook.com/signup","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:55:47 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/8999.01182e88.chunk.js","referrer":"https://app.notesnook.com/signup","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:55:47 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/media/open-sans-v34-vietnamese_latin-ext_latin_hebrew_greek-ext_greek_cyrillic-ext_cyrillic-regular.ba7d95c444d8fa356e95.woff2","referrer":"https://app.notesnook.com/static/css/4247.83b14353.chunk.css","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","Origin":"https://app.notesnook.com","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:55:47 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/media/open-sans-v34-vietnamese_latin-ext_latin_hebrew_greek-ext_greek_cyrillic-ext_cyrillic-600.435ca8f4df22eb06d383.woff2","referrer":"https://app.notesnook.com/static/css/4247.83b14353.chunk.css","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","Origin":"https://app.notesnook.com","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:55:47 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/media/open-sans-v34-vietnamese_latin-ext_latin_hebrew_greek-ext_greek_cyrillic-ext_cyrillic-700.9487ce8aa75d61bf2997.woff2","referrer":"https://app.notesnook.com/static/css/4247.83b14353.chunk.css","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","Origin":"https://app.notesnook.com","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:55:47 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/media/logo.5aa2211733c4a85fb282a011a125af67.svg","referrer":"https://app.notesnook.com/signup","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8"}}
[02/07/2023, 03:55:47 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/media/holenstein.9912fe9f3668cc3e411d.jpg","referrer":"https://app.notesnook.com/signup","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8"}}
[02/07/2023, 03:56:03 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/js/1716.e0ae08af.chunk.js","referrer":"https://app.notesnook.com/login","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
[02/07/2023, 03:56:03 PM] | info | Intercepting request: {"method":"GET","url":"https://app.notesnook.com/static/workers/nncrypto.worker.js","referrer":"https://app.notesnook.com/login","headers":{"sec-ch-ua":"\"Not;A=Brand\";v=\"99\", \"Chromium\";v=\"106\"","sec-ch-ua-mobile":"?0","User-Agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Notesnook/2.3.0 Chrome/106.0.5249.103 Electron/21.1.1 Safari/537.36","sec-ch-ua-platform":"\"Linux\"","Accept":"*/*"}}
